"№","Параметр","Ед. изм.","Примечание","Значение","",""
"РАССТОЯНИЯ","","","","","",""
"1","Расстояния от квартала до БЛИЖАЙШЕЙ перегрузочной площадки","м","Заполнить матрицу - желтыми ячейками выделены текущие соответствия кварталов и перегрузочных площадок - скорректировать при необходимости","См. вкладку","",""
"2","Расстояния от перегрузочной площадки до приемки в ПЛЦ","м","Заполнить матрицу расстояний в метрах - от ПП до ПЛЦ","См. вкладку","",""
"СКОРОСТЬ","","","","","",""
"3","Скорость движения трактора с платформой от квартала до ПП","км/ч","Платформа загружена","5 км/ч","",""
"4","Скорость движения трактора с платформой от ПП до квартала","км/ч","Платформа пустая","10 км/ч","",""
"5","Скорость движения трактора с плодовозом от ПП до ПЛЦ","км/ч","Плодовоз загружен","5 км/ч","",""
"6","Скорость движения трактора с плодовозом от ПЛЦ до ПП","км/ч","Плодовоз пуст","10 км/ч","",""
"7","Скорость движения трактора с пронаром от ПП до ПЛЦ","км/ч","Пронар загружен","5 км/ч","",""
"8","Скорость движения трактора с пронаром от ПЛЦ до ПП","км/ч","Пронар пуст","10 км/ч","",""
"ВМЕСТИМОСТЬ","","","","","",""
"9","Вместимость платформы (контейнеров на платформе)","шт.","","7 контейнеров","",""
"10","Вместимость плодовоза (контейнеров в плодовозе)","шт.","","7 контейнеров","",""
"11","Вместимость пронара (контейнеров в пронаре)","шт.","","64 контейнеров","",""
"11","Вместимость перегрузочной площадки","шт.","Максимальное кол-во контейнеров, одновременно находящихся на перегрузочной площадке","108 контейнеров","",""
"ВРЕМЯ","","","","","",""
"13","Время на полную загрузку контейнеров на платформе при сборе","минут","Время от начала сбора до полной загрузки платформы при производительности 1500 кг / чел / день","82 минуты","",""
"14","Время на выгрузку контейнеров с платформы на ПП","минут","Нормативная скорость работы погрузчика","5 минуты","",""
"15","Время на загрузку контейнеров с ПП на плодовоз","минут","Нормативная скорость работы погрузчика","20 минут","",""
"16","Время на загрузку контейнеров с ПП на пронар","минут","Нормативная скорость работы погрузчика","20 минут","",""
"17","Время на выгрузку контейнеров с плодовоза на приемку","минут","Нормативная скорость работы погрузчика","20 минут","",""
"18","Время на выгрузку контейнеров с пронара на приемку","минут","Нормативная скорость работы погрузчика","20 минут","",""
"ТЕХНИКА","","","","","",""
"19","Текущее количество тракторов в наличии","ед.","","78","",""
"20","Текущее количество платформ в наличии","ед.","","106","",""
"21","Текущее количество плодовозов в наличии","ед.","","8 плодовозов","",""
"22","Текущее количество пронаров в наличии","ед.","","5 пронаров","",""
"23","Текущее количество погрузчиков в наличии","ед.","","14","",""
"ГРАФИК РАБОТЫ","","","","","",""
"24","Нормативный рабочий день сборщика","ч.","","10 часов","",""
"25","Продолжительность перерыва на обед","ч.","","0.5 часа","",""
"26","Количество перерывов на отдых","ед.","При наличии","7 раз","",""
"27","Продолжительность перерыва на отдых","минут","При наличии","15 минут","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
